Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Traffic Impact,Order Hour,Restaurant Avg Time,Location_Order_Volume,Sales ($),Order_Hour,Order_Day,Order_Month,Order_Date,Distance Bucket
ORD047,Papa John's,"Dallas, Tx",2024-02-17 20:00:00,2024-02-17 20:25:00,25,Medium,Non-Veg,3.0,Low,Wallet,True,True,February,Online,7.199999999999999,17.8,False,1,20,28.18627450980392,50,12,20,Saturday,February,2024-02-17,2–5 km
ORD048,Little Caesars,"Houston, Tx",2024-02-18 19:15:00,2024-02-18 19:35:00,20,Small,Vegan,2.5,Medium,Card,True,True,February,Online,6.0,14.0,False,2,19,28.84422110552764,27,10,19,Sunday,February,2024-02-18,2–5 km
ORD049,Pizza Hut,"Phoenix, Az",2024-02-19 20:30:00,2024-02-19 20:55:00,25,XL,Cheese Burst,4.5,High,UPI,True,False,February,Online,10.8,14.2,False,3,20,29.94845360824742,35,17,20,Monday,February,2024-02-19,2–5 km
ORD050,Marco's Pizza,"Atlanta, Ga",2024-02-20 14:45:00,2024-02-20 15:05:00,20,Medium,Non-Veg,3.0,Low,Cash,False,False,February,Offline,7.199999999999999,12.8,False,1,14,30.28645833333333,78,12,14,Tuesday,February,2024-02-20,2–5 km
ORD051,Domino's,"Seattle, Wa",2024-02-21 19:00:00,2024-02-21 19:20:00,20,Large,Veg,4.0,Medium,Wallet,True,False,February,Online,9.6,10.4,False,2,19,30.25943396226415,37,13,19,Wednesday,February,2024-02-21,2–5 km
ORD052,Papa John's,"Denver, Co",2024-02-22 20:15:00,2024-02-22 20:40:00,25,Small,Vegan,2.0,High,Card,True,False,February,Online,4.8,20.2,False,3,20,28.18627450980392,46,10,20,Thursday,February,2024-02-22,0–2 km
ORD053,Little Caesars,"Boston, Ma",2024-02-23 18:30:00,2024-02-23 18:50:00,20,Medium,Non-Veg,3.5,Low,UPI,True,False,February,Online,8.4,11.6,False,1,18,28.84422110552764,51,12,18,Friday,February,2024-02-23,2–5 km
ORD054,Pizza Hut,"Chicago, Il",2024-02-24 19:45:00,2024-02-24 20:10:00,25,XL,Cheese Burst,4.0,Medium,Cash,True,True,February,Offline,9.6,15.4,False,2,19,29.94845360824742,45,17,19,Saturday,February,2024-02-24,2–5 km
ORD055,Marco's Pizza,"Miami, Fl",2024-02-25 13:00:00,2024-02-25 13:20:00,20,Medium,Non-Veg,3.0,High,Wallet,False,True,February,Online,7.199999999999999,12.8,False,3,13,30.28645833333333,49,12,13,Sunday,February,2024-02-25,2–5 km
ORD056,Domino's,"Los Angeles, Ca",2024-02-26 18:30:00,2024-02-26 18:50:00,20,Large,Veg,4.5,Low,Card,True,False,February,Online,10.8,9.200000000000001,False,1,18,30.25943396226415,42,13,18,Monday,February,2024-02-26,2–5 km
ORD057,Papa John's,"Phoenix, Az",2024-02-27 20:00:00,2024-02-27 20:25:00,25,Medium,Non-Veg,3.0,High,UPI,True,False,February,Online,7.199999999999999,17.8,False,3,20,28.18627450980392,35,12,20,Tuesday,February,2024-02-27,2–5 km
ORD058,Little Caesars,"Atlanta, Ga",2024-02-28 19:15:00,2024-02-28 19:35:00,20,Small,Vegan,2.5,Low,Cash,True,False,February,Offline,6.0,14.0,False,1,19,28.84422110552764,78,10,19,Wednesday,February,2024-02-28,2–5 km
ORD059,Pizza Hut,"Dallas, Tx",2024-02-29 20:30:00,2024-02-29 20:55:00,25,XL,Cheese Burst,4.0,Medium,Wallet,True,False,February,Online,9.6,15.4,False,2,20,29.94845360824742,50,17,20,Thursday,February,2024-02-29,2–5 km
ORD060,Marco's Pizza,"Seattle, Wa",2024-03-01 14:45:00,2024-03-01 15:05:00,20,Medium,Non-Veg,3.5,High,Card,False,False,March,Online,8.4,11.6,False,3,14,30.28645833333333,37,12,14,Friday,March,2024-03-01,2–5 km
ORD061,Domino's,"Denver, Co",2024-03-02 19:00:00,2024-03-02 19:20:00,20,Large,Veg,4.0,Low,UPI,True,True,March,Online,9.6,10.4,False,1,19,30.25943396226415,46,13,19,Saturday,March,2024-03-02,2–5 km
ORD062,Papa John's,"Boston, Ma",2024-03-03 20:15:00,2024-03-03 20:40:00,25,Small,Vegan,2.0,Medium,Cash,True,True,March,Offline,4.8,20.2,False,2,20,28.18627450980392,51,10,20,Sunday,March,2024-03-03,0–2 km
ORD063,Little Caesars,"Dallas, Tx",2024-03-04 18:30:00,2024-03-04 18:50:00,20,Medium,Non-Veg,3.0,High,Wallet,True,False,March,Online,7.199999999999999,12.8,False,3,18,28.84422110552764,50,12,18,Monday,March,2024-03-04,2–5 km
ORD064,Pizza Hut,"Los Angeles, Ca",2024-03-05 19:45:00,2024-03-05 20:10:00,25,XL,Cheese Burst,4.5,Low,Card,True,False,March,Online,10.8,14.2,False,1,19,29.94845360824742,42,17,19,Tuesday,March,2024-03-05,2–5 km
ORD065,Marco's Pizza,"Chicago, Il",2024-03-06 13:00:00,2024-03-06 13:20:00,20,Medium,Non-Veg,3.5,Low,Card,False,False,March,Online,8.4,11.6,False,1,13,30.28645833333333,45,12,13,Wednesday,March,2024-03-06,2–5 km
ORD066,Domino's,"Miami, Fl",2024-03-07 18:30:00,2024-03-07 18:50:00,20,Large,Veg,4.0,High,Card,True,False,March,Online,9.6,10.4,False,3,18,30.25943396226415,49,13,18,Thursday,March,2024-03-07,2–5 km
ORD067,Papa John's,"Dallas, Tx",2024-03-08 20:00:00,2024-03-08 20:25:00,25,Medium,Non-Veg,3.5,Medium,UPI,True,False,March,Online,8.4,16.6,False,2,20,28.18627450980392,50,12,20,Friday,March,2024-03-08,2–5 km
ORD068,Little Caesars,"Chicago, Il",2024-03-09 19:15:00,2024-03-09 19:35:00,20,Small,Vegan,2.5,Low,Cash,True,True,March,Offline,6.0,14.0,False,1,19,28.84422110552764,45,10,19,Saturday,March,2024-03-09,2–5 km
ORD069,Pizza Hut,"Phoenix, Az",2024-03-10 19:45:00,2024-03-10 20:10:00,25,XL,Cheese Burst,4.5,High,Wallet,True,True,March,Online,10.8,14.2,False,3,19,29.94845360824742,35,17,19,Sunday,March,2024-03-10,2–5 km
ORD070,Marco's Pizza,"Atlanta, Ga",2024-03-11 13:00:00,2024-03-11 13:20:00,20,Medium,Non-Veg,3.0,Low,Card,False,False,March,Online,7.199999999999999,12.8,False,1,13,30.28645833333333,78,12,13,Monday,March,2024-03-11,2–5 km
ORD071,Domino's,"Seattle, Wa",2024-03-12 18:30:00,2024-03-12 18:50:00,20,Large,Veg,4.0,Medium,UPI,True,False,March,Online,9.6,10.4,False,2,18,30.25943396226415,37,13,18,Tuesday,March,2024-03-12,2–5 km
ORD072,Papa John's,"Denver, Co",2024-03-13 20:15:00,2024-03-13 20:40:00,25,Small,Vegan,2.0,High,Cash,True,False,March,Offline,4.8,20.2,False,3,20,28.18627450980392,46,10,20,Wednesday,March,2024-03-13,0–2 km
ORD073,Little Caesars,"Boston, Ma",2024-03-14 18:30:00,2024-03-14 18:50:00,20,Medium,Non-Veg,3.5,Low,Wallet,True,False,March,Online,8.4,11.6,False,1,18,28.84422110552764,51,12,18,Thursday,March,2024-03-14,2–5 km
ORD074,Pizza Hut,"Chicago, Il",2024-03-15 19:45:00,2024-03-15 20:10:00,25,XL,Cheese Burst,4.0,Medium,Card,True,False,March,Online,9.6,15.4,False,2,19,29.94845360824742,45,17,19,Friday,March,2024-03-15,2–5 km
ORD075,Marco's Pizza,"Miami, Fl",2024-03-16 13:00:00,2024-03-16 13:20:00,20,Medium,Non-Veg,3.0,High,UPI,False,True,March,Online,7.199999999999999,12.8,False,3,13,30.28645833333333,49,12,13,Saturday,March,2024-03-16,2–5 km
ORD076,Domino's,"Los Angeles, Ca",2024-03-17 18:30:00,2024-03-17 18:50:00,20,Large,Veg,4.5,Low,Cash,True,True,March,Offline,10.8,9.200000000000001,False,1,18,30.25943396226415,42,13,18,Sunday,March,2024-03-17,2–5 km
ORD077,Papa John's,"Phoenix, Az",2024-03-18 20:00:00,2024-03-18 20:25:00,25,Medium,Non-Veg,3.0,High,Wallet,True,False,March,Online,7.199999999999999,17.8,False,3,20,28.18627450980392,35,12,20,Monday,March,2024-03-18,2–5 km
ORD078,Little Caesars,"Atlanta, Ga",2024-03-19 19:15:00,2024-03-19 19:35:00,20,Small,Vegan,2.5,Low,Card,True,False,March,Online,6.0,14.0,False,1,19,28.84422110552764,78,10,19,Tuesday,March,2024-03-19,2–5 km
ORD079,Pizza Hut,"Dallas, Tx",2024-03-20 19:45:00,2024-03-20 20:10:00,25,XL,Cheese Burst,4.0,Medium,UPI,True,False,March,Online,9.6,15.4,False,2,19,29.94845360824742,50,17,19,Wednesday,March,2024-03-20,2–5 km
ORD080,Marco's Pizza,"Seattle, Wa",2024-03-21 13:00:00,2024-03-21 13:20:00,20,Medium,Non-Veg,3.5,High,Cash,False,False,March,Offline,8.4,11.6,False,3,13,30.28645833333333,37,12,13,Thursday,March,2024-03-21,2–5 km
ORD081,Domino's,"Denver, Co",2024-03-22 18:30:00,2024-03-22 18:50:00,20,Large,Veg,4.0,Low,Wallet,True,False,March,Online,9.6,10.4,False,1,18,30.25943396226415,46,13,18,Friday,March,2024-03-22,2–5 km
ORD082,Papa John's,"Boston, Ma",2024-03-23 20:15:00,2024-03-23 20:40:00,25,Small,Vegan,2.0,High,Card,True,True,March,Online,4.8,20.2,False,3,20,28.18627450980392,51,10,20,Saturday,March,2024-03-23,0–2 km
ORD083,Little Caesars,"Dallas, Tx",2024-03-24 18:30:00,2024-03-24 18:50:00,20,Medium,Non-Veg,3.0,High,UPI,True,True,March,Online,7.199999999999999,12.8,False,3,18,28.84422110552764,50,12,18,Sunday,March,2024-03-24,2–5 km
ORD084,Pizza Hut,"Los Angeles, Ca",2024-03-25 19:45:00,2024-03-25 20:10:00,25,XL,Cheese Burst,4.5,Low,Cash,True,False,March,Offline,10.8,14.2,False,1,19,29.94845360824742,42,17,19,Monday,March,2024-03-25,2–5 km
ORD085,Marco's Pizza,"Chicago, Il",2024-03-26 13:00:00,2024-03-26 13:20:00,20,Medium,Non-Veg,3.5,Medium,Wallet,False,False,March,Online,8.4,11.6,False,2,13,30.28645833333333,45,12,13,Tuesday,March,2024-03-26,2–5 km
ORD086,Domino's,"Miami, Fl",2024-03-27 18:30:00,2024-03-27 18:50:00,20,Large,Veg,4.0,High,Card,True,False,March,Online,9.6,10.4,False,3,18,30.25943396226415,49,13,18,Wednesday,March,2024-03-27,2–5 km
ORD087,Papa John's,"Dallas, Tx",2024-03-28 20:00:00,2024-03-28 20:25:00,25,Medium,Non-Veg,3.0,Low,UPI,True,False,March,Online,7.199999999999999,17.8,False,1,20,28.18627450980392,50,12,20,Thursday,March,2024-03-28,2–5 km
ORD088,Little Caesars,"Houston, Tx",2024-03-29 19:15:00,2024-03-29 19:35:00,20,Small,Vegan,2.5,Low,Cash,True,False,March,Offline,6.0,14.0,False,1,19,28.84422110552764,27,10,19,Friday,March,2024-03-29,2–5 km
ORD089,Pizza Hut,"Phoenix, Az",2024-03-30 19:45:00,2024-03-30 20:10:00,25,XL,Cheese Burst,4.5,High,Wallet,True,True,March,Online,10.8,14.2,False,3,19,29.94845360824742,35,17,19,Saturday,March,2024-03-30,2–5 km
ORD090,Marco's Pizza,"Atlanta, Ga",2024-03-31 13:00:00,2024-03-31 13:20:00,20,Medium,Non-Veg,3.0,Medium,Card,False,True,March,Online,7.199999999999999,12.8,False,2,13,30.28645833333333,78,12,13,Sunday,March,2024-03-31,2–5 km
ORD091,Domino's,"Seattle, Wa",2024-04-01 18:30:00,2024-04-01 18:50:00,20,Large,Veg,4.0,Low,UPI,True,False,April,Online,9.6,10.4,False,1,18,30.25943396226415,37,13,18,Monday,April,2024-04-01,2–5 km
ORD092,Papa John's,"Denver, Co",2024-04-02 20:15:00,2024-04-02 20:40:00,25,Small,Vegan,2.0,High,Cash,True,False,April,Offline,4.8,20.2,False,3,20,28.18627450980392,46,10,20,Tuesday,April,2024-04-02,0–2 km
ORD093,Little Caesars,"Boston, Ma",2024-04-03 18:30:00,2024-04-03 18:50:00,20,Medium,Non-Veg,3.5,Low,Wallet,True,False,April,Online,8.4,11.6,False,1,18,28.84422110552764,51,12,18,Wednesday,April,2024-04-03,2–5 km
ORD094,Pizza Hut,"Chicago, Il",2024-04-04 19:45:00,2024-04-04 20:10:00,25,XL,Cheese Burst,4.0,Medium,Card,True,False,April,Online,9.6,15.4,False,2,19,29.94845360824742,45,17,19,Thursday,April,2024-04-04,2–5 km
ORD095,Marco's Pizza,"Miami, Fl",2024-04-05 13:00:00,2024-04-05 13:20:00,20,Medium,Non-Veg,3.0,High,UPI,False,False,April,Online,7.199999999999999,12.8,False,3,13,30.28645833333333,49,12,13,Friday,April,2024-04-05,2–5 km
ORD096,Domino's,"Los Angeles, Ca",2024-04-06 18:30:00,2024-04-06 18:50:00,20,Large,Veg,4.5,High,Card,True,True,April,Online,10.8,9.200000000000001,False,3,18,30.25943396226415,42,13,18,Saturday,April,2024-04-06,2–5 km
ORD097,Papa John's,"Dallas, Tx",2024-04-07 20:00:00,2024-04-07 20:25:00,25,Medium,Non-Veg,3.0,Medium,UPI,True,True,April,Online,7.199999999999999,17.8,False,2,20,28.18627450980392,50,12,20,Sunday,April,2024-04-07,2–5 km
ORD098,Little Caesars,"Chicago, Il",2024-04-08 19:15:00,2024-04-08 19:35:00,20,Small,Vegan,2.5,Low,Cash,True,False,April,Offline,6.0,14.0,False,1,19,28.84422110552764,45,10,19,Monday,April,2024-04-08,2–5 km
ORD099,Pizza Hut,"Phoenix, Az",2024-04-09 19:45:00,2024-04-09 20:10:00,25,XL,Cheese Burst,4.0,High,Wallet,True,False,April,Online,9.6,15.4,False,3,19,29.94845360824742,35,17,19,Tuesday,April,2024-04-09,2–5 km
ORD100,Marco's Pizza,"Atlanta, Ga",2024-04-10 13:00:00,2024-04-10 13:20:00,20,Medium,Non-Veg,3.5,Low,Card,False,False,April,Online,8.4,11.6,False,1,13,30.28645833333333,78,12,13,Wednesday,April,2024-04-10,2–5 km
ORD101,Domino's,"Seattle, Wa",2024-04-11 18:30:00,2024-04-11 18:50:00,20,Large,Veg,4.5,Medium,UPI,True,False,April,Online,10.8,9.200000000000001,False,2,18,30.25943396226415,37,13,18,Thursday,April,2024-04-11,2–5 km
ORD102,Papa John's,"Denver, Co",2024-04-12 20:15:00,2024-04-12 20:40:00,25,Small,Vegan,2.0,High,Cash,True,False,April,Offline,4.8,20.2,False,3,20,28.18627450980392,46,10,20,Friday,April,2024-04-12,0–2 km
ORD103,Little Caesars,"Boston, Ma",2024-04-13 18:30:00,2024-04-13 18:50:00,20,Medium,Non-Veg,3.5,Low,Wallet,True,True,April,Online,8.4,11.6,False,1,18,28.84422110552764,51,12,18,Saturday,April,2024-04-13,2–5 km
ORD104,Pizza Hut,"Chicago, Il",2024-04-14 19:45:00,2024-04-14 20:10:00,25,XL,Cheese Burst,4.0,Medium,Card,True,True,April,Online,9.6,15.4,False,2,19,29.94845360824742,45,17,19,Sunday,April,2024-04-14,2–5 km
ORD105,Marco's Pizza,"Miami, Fl",2024-04-15 13:00:00,2024-04-15 13:20:00,20,Medium,Non-Veg,3.0,High,UPI,False,False,April,Online,7.199999999999999,12.8,False,3,13,30.28645833333333,49,12,13,Monday,April,2024-04-15,2–5 km
